[1, 24] 7.741099090035366
[24, 47] 8.22282213081366
[47, 70] 8.065265208897733
[70, 93] 7.600902459542082
[93, 116] 7.134890851565884
[116, 139] 6.756932389247553
[139, 162] 6.244166900663736
[162, 185] 5.886104031450156
[185, 208] 5.303304908059076
[208, 231] 4.976733742420574
[231, 254] 4.718498871295094
[254, 277] 4.418840607796598
[277, 300] 3.970291913552122
[300, 324] 3.091042453358316
[324, 348] 2.70805020110221
[348, 371] 3.1354942159291497
[371, 395] 2.302585092994046
[395, 420] 2.302585092994046
[420, 452] 2.0794415416798357
[452, 479] 1.6094379124341003
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
